rram_0.mem_0:rram_v (interpolated wth step=1e-11) X,rram_0.mem_0:rram_v (interpolated wth step=1e-11) Y,rram_0.mem_0:rram_g (interpolated wth step=1e-11) X,rram_0.mem_0:rram_g (interpolated wth step=1e-11) Y,rram_0.mem_0:rram_i (interpolated wth step=1e-11) X,rram_0.mem_0:rram_i (interpolated wth step=1e-11) Y,rram_0.mem_0:rram_r_read (interpolated wth step=1e-11) X,rram_0.mem_0:rram_r_read (interpolated wth step=1e-11) Y
0,0,0,1e-10,0,0,0,9983.641929456926
9.999999999999999e-12,0,9.999999999999999e-12,1e-10,9.999999999999999e-12,0,9.999999999999999e-12,9983.641929456926
2e-11,0,2e-11,1e-10,2e-11,0,2e-11,9983.641929456926
3e-11,0,3e-11,1e-10,3e-11,0,3e-11,9983.641929456926
4e-11,0,4e-11,1e-10,4e-11,0,4e-11,9983.641929456926
5e-11,0,5e-11,1e-10,5e-11,0,5e-11,9983.641929456926
6e-11,0,6e-11,1e-10,6e-11,0,6e-11,9983.641929456926
7e-11,0,7e-11,1e-10,7e-11,0,7e-11,9983.641929456926
8.000000000000001e-11,0,8.000000000000001e-11,1e-10,8.000000000000001e-11,0,8.000000000000001e-11,9983.641929456926
9.000000000000001e-11,0,9.000000000000001e-11,1e-10,9.000000000000001e-11,0,9.000000000000001e-11,9983.641929456926
1e-10,0,1e-10,1e-10,1e-10,0,1e-10,9983.641929456926
1.1e-10,0,1.1e-10,1e-10,1.1e-10,0,1.1e-10,9983.641929456926
1.2e-10,0,1.2e-10,1e-10,1.2e-10,0,1.2e-10,9983.641929456926
1.3e-10,0,1.3e-10,1e-10,1.3e-10,0,1.3e-10,9983.641929456926
1.4e-10,0,1.4e-10,1e-10,1.4e-10,0,1.4e-10,9983.641929456926
1.5e-10,0,1.5e-10,1e-10,1.5e-10,0,1.5e-10,9983.641929456926
1.6e-10,0,1.6e-10,1e-10,1.6e-10,0,1.6e-10,9983.641929456926
1.7e-10,0,1.7e-10,1e-10,1.7e-10,0,1.7e-10,9983.641929456926
1.8e-10,0,1.8e-10,1e-10,1.8e-10,0,1.8e-10,9983.641929456926
1.9e-10,0,1.9e-10,1e-10,1.9e-10,0,1.9e-10,9983.641929456926
2e-10,0,2e-10,1e-10,2e-10,0,2e-10,9983.641929456926
2.099999999999999e-10,0,2.099999999999999e-10,1e-10,2.099999999999999e-10,0,2.099999999999999e-10,9983.641929456926
2.199999999999999e-10,0,2.199999999999999e-10,1e-10,2.199999999999999e-10,0,2.199999999999999e-10,9983.641929456926
2.299999999999999e-10,0,2.299999999999999e-10,1e-10,2.299999999999999e-10,0,2.299999999999999e-10,9983.641929456926
2.399999999999999e-10,0,2.399999999999999e-10,1e-10,2.399999999999999e-10,0,2.399999999999999e-10,9983.641929456926
2.5e-10,0,2.5e-10,1e-10,2.5e-10,0,2.5e-10,9983.641929456926
2.6e-10,0,2.6e-10,1e-10,2.6e-10,0,2.6e-10,9983.641929456926
2.7e-10,0,2.7e-10,1e-10,2.7e-10,0,2.7e-10,9983.641929456926
2.8e-10,0,2.8e-10,1e-10,2.8e-10,0,2.8e-10,9983.641929456926
2.9e-10,0,2.9e-10,1e-10,2.9e-10,0,2.9e-10,9983.641929456926
3e-10,0,3e-10,1e-10,3e-10,0,3e-10,9983.641929456926
3.100000000000001e-10,0,3.100000000000001e-10,1e-10,3.100000000000001e-10,0,3.100000000000001e-10,9983.641929456926
3.200000000000001e-10,0,3.200000000000001e-10,1e-10,3.200000000000001e-10,0,3.200000000000001e-10,9983.641929456926
3.300000000000001e-10,0,3.300000000000001e-10,1e-10,3.300000000000001e-10,0,3.300000000000001e-10,9983.641929456926
