p_level ,value(getData("rram_0.mem_0:rram_r_read" ?result "tran") 130n) (-real)
0.000,9.984E3
1.000,9.984E3
2.000,9.984E3
3.000,9.984E3
4.000,9.984E3
5.000,9.984E3
6.000,24.11E3
7.000,25.07E3
8.000,26.91E3
9.000,9.984E3
10.00,9.984E3
11.00,30.43E3
12.00,9.984E3
13.00,12.29E3
14.00,33.97E3
15.00,34.67E3
16.00,36.35E3
17.00,37.55E3
18.00,38.77E3
19.00,39.99E3
20.00,41.22E3
21.00,42.45E3
22.00,43.70E3
23.00,44.95E3
24.00,46.22E3
25.00,47.49E3
26.00,48.77E3
27.00,50.05E3
28.00,51.35E3
29.00,52.65E3
30.00,53.96E3
31.00,55.28E3
32.00,56.60E3
33.00,57.93E3
34.00,59.27E3
35.00,60.62E3
36.00,61.97E3
37.00,63.33E3
38.00,64.70E3
39.00,66.08E3
40.00,67.46E3
41.00,68.85E3
42.00,70.24E3
43.00,71.65E3
44.00,73.06E3
45.00,74.47E3
46.00,75.89E3
47.00,77.32E3
48.00,78.76E3
49.00,80.20E3
50.00,81.65E3
51.00,83.11E3
52.00,84.57E3
53.00,86.04E3
54.00,87.52E3
55.00,89.00E3
56.00,90.49E3
57.00,91.98E3
58.00,93.48E3
59.00,94.99E3
60.00,96.51E3
61.00,98.03E3
62.00,99.55E3
63.00,101.1E3
64.00,102.6E3
65.00,104.2E3
66.00,105.7E3
67.00,107.3E3
68.00,108.9E3
69.00,110.4E3
70.00,112.0E3
71.00,113.6E3
72.00,115.2E3
73.00,116.8E3
74.00,118.4E3
75.00,120.0E3
76.00,121.6E3
77.00,123.2E3
78.00,124.9E3
79.00,126.5E3
80.00,128.2E3
81.00,129.8E3
82.00,131.5E3
83.00,133.1E3
84.00,134.8E3
85.00,136.5E3
86.00,138.2E3
87.00,139.8E3
88.00,141.5E3
89.00,143.2E3
90.00,145.0E3
91.00,146.7E3
92.00,148.4E3
93.00,150.1E3
94.00,151.9E3
95.00,153.6E3
96.00,155.4E3
97.00,157.1E3
98.00,158.9E3
99.00,160.7E3
100.0,162.4E3
101.0,164.2E3
102.0,166.0E3
103.0,167.8E3
104.0,169.6E3
105.0,171.5E3
106.0,173.3E3
107.0,175.1E3
108.0,176.9E3
109.0,178.8E3
110.0,180.6E3
111.0,182.5E3
112.0,184.4E3
113.0,186.2E3
114.0,188.1E3
115.0,190.0E3
116.0,191.9E3
117.0,193.8E3
118.0,195.7E3
119.0,197.7E3
120.0,199.6E3
121.0,201.5E3
122.0,203.5E3
123.0,205.4E3
124.0,207.4E3
125.0,209.4E3
126.0,211.3E3
127.0,213.3E3
128.0,215.3E3
129.0,217.3E3
130.0,219.3E3
131.0,221.4E3
132.0,223.4E3
133.0,225.4E3
134.0,227.5E3
135.0,229.5E3
136.0,231.6E3
137.0,233.6E3
138.0,235.7E3
139.0,237.8E3
140.0,239.9E3
141.0,242.0E3
