p_level ,value(getData("rram_0.mem_0:rram_r_read" ?result "tran" ?resultsDir "./arizona_rram_1t1r.raw") 130n) (-real)
0.000,18.47E3
1.000,19.50E3
2.000,20.55E3
3.000,21.61E3
4.000,22.68E3
5.000,23.76E3
6.000,24.86E3
7.000,25.96E3
8.000,27.07E3
9.000,28.20E3
10.00,29.33E3
11.00,30.48E3
12.00,31.63E3
13.00,32.80E3
14.00,33.97E3
15.00,35.16E3
16.00,36.35E3
17.00,37.55E3
18.00,38.77E3
19.00,39.99E3
20.00,41.21E3
21.00,42.45E3
22.00,43.70E3
23.00,44.95E3
24.00,46.22E3
25.00,47.49E3
26.00,48.76E3
27.00,50.05E3
28.00,51.35E3
29.00,52.65E3
30.00,53.96E3
31.00,55.27E3
32.00,56.60E3
33.00,57.93E3
34.00,59.27E3
35.00,60.62E3
36.00,61.97E3
37.00,63.33E3
38.00,64.70E3
39.00,66.08E3
40.00,67.46E3
41.00,68.85E3
42.00,70.24E3
43.00,71.64E3
44.00,73.05E3
45.00,74.47E3
46.00,75.89E3
47.00,77.32E3
48.00,78.76E3
49.00,80.20E3
50.00,81.65E3
51.00,83.11E3
52.00,84.57E3
53.00,86.04E3
54.00,87.51E3
55.00,89.00E3
56.00,90.49E3
57.00,91.98E3
58.00,93.48E3
59.00,94.99E3
60.00,96.50E3
61.00,98.03E3
62.00,99.55E3
63.00,101.1E3
64.00,102.6E3
65.00,104.2E3
66.00,105.7E3
67.00,107.3E3
68.00,108.9E3
69.00,110.4E3
70.00,112.0E3
71.00,113.6E3
72.00,115.2E3
73.00,116.8E3
74.00,118.4E3
75.00,120.0E3
76.00,121.6E3
77.00,123.2E3
78.00,124.9E3
79.00,126.5E3
80.00,128.1E3
81.00,129.8E3
82.00,131.5E3
83.00,133.1E3
84.00,134.8E3
85.00,136.5E3
86.00,138.2E3
87.00,139.8E3
88.00,141.5E3
89.00,143.2E3
90.00,145.0E3
91.00,146.7E3
92.00,148.4E3
93.00,150.1E3
94.00,151.9E3
95.00,153.6E3
96.00,155.4E3
97.00,157.1E3
98.00,158.9E3
99.00,160.7E3
100.0,162.4E3
101.0,164.2E3
102.0,166.0E3
103.0,167.8E3
104.0,169.6E3
105.0,171.4E3
106.0,173.3E3
107.0,175.1E3
108.0,176.9E3
109.0,178.8E3
110.0,180.6E3
111.0,182.5E3
112.0,184.4E3
113.0,186.2E3
114.0,188.1E3
115.0,190.0E3
116.0,191.9E3
117.0,193.8E3
118.0,195.7E3
119.0,197.6E3
120.0,199.6E3
121.0,201.5E3
122.0,203.4E3
123.0,205.4E3
124.0,207.3E3
125.0,209.3E3
126.0,211.3E3
127.0,213.3E3
128.0,215.3E3
129.0,217.3E3
130.0,219.3E3
131.0,221.3E3
132.0,223.3E3
133.0,225.3E3
134.0,227.4E3
135.0,229.4E3
136.0,231.5E3
137.0,233.5E3
138.0,235.6E3
139.0,237.7E3
140.0,239.8E3
141.0,241.9E3
142.0,244.0E3
143.0,246.1E3
144.0,248.2E3
145.0,250.3E3
146.0,252.5E3
147.0,254.6E3
148.0,256.8E3
149.0,259.0E3
150.0,261.1E3
151.0,263.3E3
152.0,265.5E3
153.0,267.7E3
154.0,269.9E3
155.0,272.1E3
156.0,274.4E3
157.0,276.6E3
158.0,278.8E3
159.0,281.1E3
160.0,283.3E3
161.0,285.6E3
162.0,287.9E3
163.0,290.2E3
164.0,292.5E3
165.0,294.8E3
166.0,297.1E3
167.0,299.4E3
168.0,301.7E3
169.0,304.1E3
170.0,306.4E3
171.0,308.7E3
172.0,311.1E3
173.0,313.5E3
174.0,315.8E3
175.0,318.2E3
176.0,320.6E3
177.0,323.0E3
178.0,325.4E3
179.0,327.8E3
180.0,330.2E3
181.0,332.6E3
182.0,335.1E3
183.0,337.5E3
184.0,339.9E3
185.0,342.4E3
186.0,344.8E3
187.0,347.3E3
188.0,349.7E3
189.0,352.2E3
190.0,354.7E3
191.0,357.1E3
192.0,359.6E3
193.0,362.1E3
194.0,364.5E3
195.0,367.0E3
196.0,369.5E3
197.0,372.0E3
198.0,374.4E3
199.0,376.9E3
200.0,379.4E3
201.0,381.9E3
202.0,384.4E3
203.0,386.8E3
204.0,389.3E3
205.0,391.8E3
206.0,394.2E3
207.0,396.7E3
208.0,399.1E3
209.0,401.6E3
210.0,404.0E3
211.0,406.4E3
212.0,408.9E3
213.0,411.3E3
214.0,413.7E3
215.0,416.1E3
216.0,418.5E3
217.0,420.8E3
218.0,423.2E3
219.0,425.5E3
220.0,427.8E3
221.0,430.2E3
222.0,432.5E3
223.0,434.7E3
224.0,437.0E3
225.0,439.2E3
226.0,441.5E3
227.0,443.7E3
228.0,445.9E3
229.0,448.0E3
230.0,450.2E3
231.0,452.3E3
232.0,454.4E3
233.0,456.5E3
234.0,458.5E3
235.0,460.5E3
236.0,462.5E3
237.0,464.5E3
238.0,466.4E3
239.0,468.3E3
240.0,470.2E3
241.0,472.1E3
242.0,473.9E3
243.0,475.7E3
244.0,477.5E3
245.0,479.2E3
246.0,480.9E3
247.0,482.6E3
248.0,484.3E3
249.0,485.9E3
250.0,487.5E3
251.0,489.0E3
252.0,490.5E3
253.0,492.0E3
254.0,493.5E3
255.0,494.9E3
256.0,496.3E3
257.0,497.7E3
258.0,499.0E3
259.0,500.3E3
260.0,501.6E3
261.0,502.9E3
262.0,504.1E3
263.0,505.3E3
264.0,506.4E3
265.0,507.6E3
266.0,508.7E3
267.0,509.8E3
268.0,510.8E3
269.0,511.8E3
270.0,512.8E3
271.0,513.8E3
272.0,514.7E3
273.0,515.6E3
274.0,516.5E3
275.0,517.4E3
276.0,518.2E3
277.0,519.0E3
278.0,519.8E3
279.0,520.6E3
280.0,521.4E3
281.0,522.1E3
282.0,522.8E3
283.0,523.5E3
284.0,524.1E3
285.0,524.8E3
286.0,525.4E3
287.0,526.0E3
288.0,526.6E3
289.0,527.2E3
290.0,527.7E3
291.0,528.2E3
292.0,528.8E3
293.0,529.3E3
294.0,529.8E3
295.0,530.2E3
296.0,530.7E3
297.0,531.1E3
298.0,531.6E3
299.0,532.0E3
300.0,532.4E3
301.0,532.8E3
302.0,533.1E3
303.0,533.5E3
304.0,533.9E3
305.0,534.2E3
306.0,534.5E3
307.0,534.8E3
308.0,535.2E3
309.0,535.5E3
310.0,535.7E3
311.0,536.0E3
312.0,536.3E3
313.0,536.6E3
314.0,536.8E3
315.0,537.1E3
316.0,537.3E3
317.0,537.5E3
318.0,537.7E3
319.0,538.0E3
