p_level ,value(getData("rram_0.mem_0:rram_r_read" ?result "tran") 130n) (-real)
0.000,18.47E3
1.000,19.50E3
2.000,20.55E3
3.000,21.61E3
4.000,22.68E3
5.000,23.76E3
6.000,24.86E3
7.000,25.96E3
8.000,27.07E3
9.000,28.20E3
10.00,29.33E3
11.00,30.48E3
12.00,31.63E3
13.00,32.80E3
14.00,33.97E3
15.00,35.16E3
16.00,36.35E3
17.00,37.55E3
18.00,38.77E3
19.00,39.99E3
20.00,41.21E3
21.00,42.45E3
22.00,43.70E3
23.00,44.95E3
24.00,46.22E3
25.00,47.49E3
26.00,48.76E3
27.00,50.05E3
28.00,51.35E3
29.00,52.65E3
30.00,53.96E3
31.00,55.27E3
32.00,56.60E3
33.00,57.93E3
34.00,59.27E3
35.00,60.62E3
36.00,61.97E3
37.00,63.33E3
38.00,64.70E3
39.00,66.08E3
40.00,67.46E3
41.00,68.85E3
42.00,70.24E3
43.00,71.65E3
44.00,73.05E3
45.00,74.47E3
46.00,75.89E3
47.00,77.32E3
48.00,78.76E3
49.00,80.20E3
50.00,81.65E3
51.00,83.11E3
52.00,84.57E3
53.00,86.04E3
54.00,87.51E3
55.00,89.00E3
56.00,90.49E3
57.00,91.98E3
58.00,93.48E3
59.00,94.99E3
60.00,96.50E3
61.00,98.03E3
62.00,99.55E3
63.00,101.1E3
64.00,102.6E3
65.00,104.2E3
66.00,105.7E3
67.00,107.3E3
68.00,108.9E3
69.00,110.4E3
70.00,112.0E3
71.00,113.6E3
72.00,115.2E3
73.00,116.8E3
74.00,118.4E3
75.00,120.0E3
76.00,121.6E3
77.00,123.2E3
78.00,124.9E3
79.00,126.5E3
80.00,128.1E3
81.00,129.8E3
82.00,131.5E3
83.00,133.1E3
84.00,134.8E3
85.00,136.5E3
86.00,138.2E3
87.00,139.8E3
88.00,141.5E3
89.00,143.2E3
90.00,145.0E3
91.00,146.7E3
92.00,148.4E3
93.00,150.1E3
94.00,151.9E3
95.00,153.6E3
96.00,155.4E3
97.00,157.1E3
98.00,158.9E3
99.00,160.7E3
100.0,162.4E3
101.0,164.2E3
102.0,166.0E3
103.0,167.8E3
104.0,169.6E3
105.0,171.4E3
106.0,173.3E3
107.0,175.1E3
108.0,176.9E3
109.0,178.8E3
110.0,180.6E3
111.0,182.5E3
112.0,184.4E3
113.0,186.2E3
114.0,188.1E3
115.0,190.0E3
116.0,191.9E3
117.0,193.8E3
118.0,195.7E3
119.0,197.6E3
120.0,199.6E3
121.0,201.5E3
122.0,203.5E3
123.0,205.4E3
124.0,207.4E3
125.0,209.3E3
126.0,211.3E3
127.0,213.3E3
128.0,215.3E3
129.0,217.3E3
130.0,219.3E3
131.0,221.3E3
132.0,223.4E3
133.0,225.4E3
134.0,227.4E3
135.0,229.5E3
136.0,231.5E3
137.0,233.6E3
138.0,235.7E3
139.0,237.8E3
140.0,239.9E3
141.0,242.0E3
142.0,244.1E3
143.0,246.2E3
144.0,248.3E3
145.0,250.5E3
146.0,252.6E3
147.0,254.8E3
148.0,257.0E3
149.0,259.1E3
150.0,261.3E3
151.0,263.5E3
152.0,265.7E3
153.0,268.0E3
154.0,270.2E3
155.0,272.4E3
156.0,274.7E3
157.0,276.9E3
158.0,279.2E3
159.0,281.5E3
160.0,283.7E3
161.0,286.0E3
162.0,288.3E3
163.0,290.7E3
164.0,293.0E3
165.0,295.3E3
166.0,297.7E3
167.0,300.0E3
168.0,302.4E3
169.0,304.8E3
170.0,307.2E3
171.0,309.6E3
172.0,312.0E3
173.0,314.4E3
174.0,316.9E3
175.0,319.3E3
176.0,321.8E3
177.0,324.2E3
178.0,326.7E3
179.0,329.2E3
180.0,331.7E3
181.0,334.2E3
182.0,336.7E3
183.0,339.3E3
184.0,341.8E3
185.0,344.4E3
186.0,347.0E3
187.0,349.5E3
188.0,352.1E3
189.0,354.8E3
190.0,357.4E3
191.0,360.0E3
192.0,362.7E3
193.0,365.3E3
194.0,368.0E3
195.0,370.7E3
196.0,373.4E3
197.0,376.1E3
198.0,378.8E3
199.0,381.5E3
200.0,384.2E3
201.0,387.0E3
202.0,389.8E3
203.0,392.5E3
204.0,395.3E3
205.0,398.1E3
206.0,401.0E3
207.0,403.8E3
208.0,406.6E3
209.0,409.5E3
210.0,412.3E3
211.0,415.2E3
212.0,418.1E3
213.0,421.0E3
214.0,423.9E3
215.0,426.8E3
216.0,429.8E3
217.0,432.7E3
218.0,435.7E3
219.0,438.6E3
220.0,441.6E3
221.0,444.6E3
222.0,447.6E3
223.0,450.6E3
224.0,453.7E3
225.0,456.7E3
226.0,459.7E3
227.0,462.8E3
228.0,465.8E3
229.0,468.9E3
230.0,472.0E3
231.0,475.1E3
232.0,478.2E3
233.0,481.3E3
234.0,484.4E3
235.0,487.5E3
236.0,490.6E3
237.0,493.8E3
238.0,496.9E3
239.0,500.1E3
240.0,503.2E3
241.0,506.4E3
242.0,509.5E3
243.0,512.7E3
244.0,515.9E3
245.0,519.0E3
246.0,522.2E3
247.0,525.4E3
248.0,528.6E3
249.0,531.8E3
250.0,534.9E3
251.0,538.1E3
252.0,541.3E3
253.0,544.5E3
254.0,547.6E3
255.0,550.8E3
256.0,554.0E3
257.0,557.1E3
258.0,560.3E3
259.0,563.4E3
260.0,566.6E3
261.0,569.7E3
262.0,572.9E3
263.0,576.0E3
264.0,579.1E3
265.0,582.2E3
266.0,585.3E3
267.0,588.4E3
268.0,591.4E3
269.0,594.5E3
270.0,597.5E3
271.0,600.5E3
272.0,603.5E3
273.0,606.5E3
274.0,609.5E3
275.0,612.4E3
276.0,615.4E3
277.0,618.3E3
278.0,621.2E3
279.0,624.0E3
280.0,626.9E3
281.0,629.7E3
282.0,632.5E3
283.0,635.3E3
284.0,638.0E3
285.0,640.8E3
286.0,643.5E3
287.0,646.1E3
288.0,648.8E3
289.0,651.4E3
290.0,654.0E3
291.0,656.5E3
292.0,659.1E3
293.0,661.6E3
294.0,664.0E3
295.0,666.5E3
296.0,668.9E3
297.0,671.2E3
298.0,673.6E3
299.0,675.9E3
300.0,678.2E3
301.0,680.4E3
302.0,682.6E3
303.0,684.8E3
304.0,686.9E3
305.0,689.0E3
306.0,691.1E3
307.0,693.2E3
308.0,695.2E3
309.0,697.1E3
310.0,699.1E3
311.0,701.0E3
312.0,702.9E3
313.0,704.7E3
314.0,706.5E3
315.0,708.3E3
316.0,710.0E3
317.0,711.7E3
318.0,713.4E3
319.0,715.1E3
320.0,716.7E3
321.0,718.3E3
322.0,719.8E3
