p_level ,"value(getData(""rram_0.mem_0:rram_r_read"" ?result ""tran"") 130n) (-real)","value(getData(""rram_0.mem_0:rram_r_read"" ?result ""tran"") 130n) (-real)"
0,9984,9984
1,9984,9984
2,9984,9984
3,9984,9984
4,9984,9984
5,9984,9984
6,9984,9984
7,9984,9984
8,9984,9984
9,9984,9984
10,9984,9984
11,9984,9984
12,9984,9984
13,9984,9984
14,9984,9984
15,9984,9984
16,9984,9984
17,9984,9984
18,9984,9984
19,9984,9984
20,9984,9984
21,9984,9984
22,9984,9984
23,9984,9984
24,9984,9984
25,9984,9984
26,9984,9984
27,9984,9984
28,9984,9984
29,9984,9984
30,9984,9984
31,9984,9984
32,9984,9984
33,9984,9984
34,9984,9984
35,9984,9984
36,9984,9984
37,9984,9984
38,9984,9984
39,9984,9984
40,9984,9984
41,9984,9984
42,9984,9984
43,9984,9984
44,9984,9984
45,9984,9984
46,9984,9984
47,9984,9984
48,9984,9984
49,9984,9984
50,9984,11890
51,9984,9984
52,9984,9984
53,9984,9984
54,9984,84350
55,9984,9984
56,9984,90490
57,9984,91980
58,9984,9984
59,94990,94990
60,96510,96510
61,98030,98030
62,99560,99560
63,101100,101100
64,102600,102600
65,104200,104200
66,105700,105700
67,107300,107300
68,108900,108900
69,110400,110400
70,112000,112000
71,113600,113600
72,115200,115200
73,116800,116800
74,118400,118400
75,120000,120000
76,121600,121600
77,123200,123200
78,124900,124900
79,126500,126500
80,128200,128200
81,129800,129800
82,131500,131500
83,133100,133100
84,134800,134800
85,136500,136500
86,138200,138200
87,139900,139900
88,141500,141500
89,143300,143300
90,145000,145000
91,146700,146700
92,148400,148400
93,150100,150100
94,151900,151900
95,153600,153600
96,155400,155400
97,157100,157100
98,158900,158900
99,160700,160700
100,162500,162500
101,164200,164200
102,166000,166000
103,167800,167800
104,169600,169600
105,171500,171500
106,173300,173300
107,175100,175100
108,177000,177000
109,178800,178800
110,180700,180700
111,182500,182500
112,184400,184400
113,186300,186300
114,188100,188100
115,190000,190000
116,191900,191900
117,193800,193800
118,195800,195800
119,197700,197700
120,199600,199600
121,201500,201500
122,203500,203500
123,205400,205400
124,207400,207400
125,209400,209400
126,211400,211400
127,213300,213300
128,215300,215300
129,217300,217300
130,219400,219400
131,221400,221400
132,223400,223400
133,225400,225400
134,227500,227500
135,229500,229500
136,231600,231600
137,233700,233700
138,235800,235800
139,237800,237800
140,239900,239900
141,242100,242100
142,244200,244200
143,246300,246300
144,248400,248400
145,250600,250600
146,252700,252700
147,254900,254900
148,257100,257100
149,259300,259300
150,261400,261400
151,263700,263700
152,265900,265900
153,268100,268100
154,270300,270300
155,272600,272600
156,274800,274800
157,277100,277100
158,279400,279400
159,281600,281600
160,283900,283900
161,286200,286200
162,288600,288600
163,290900,290900
164,293200,293200
165,295600,295600
166,297900,297900
167,300300,300300
168,302700,302700
169,305100,305100
170,307500,307500
171,309900,309900
172,312400,312400
173,314800,314800
174,317300,317300
175,319700,319700
176,322200,322200
177,324700,324700
178,327200,327200
179,329700,329700
180,332300,332300
181,334800,334800
182,337400,337400
183,340000,340000
184,342500,342500
185,345200,345200
186,347800,347800
187,350400,350400
188,353000,353000
189,355700,355700
190,358400,358400
191,361100,361100
192,363800,363800
193,366500,366500
194,369200,369200
195,372000,372000
196,374700,374700
197,377500,377500
198,380300,380300
199,383100,383100
200,386000,386000
201,388800,388800
202,391700,391700
203,394500,394500
204,397400,397400
205,400400,400400
206,403300,403300
207,406300,406300
208,409200,409200
209,412200,412200
210,415200,415200
211,418300,418300
212,421300,421300
213,424400,424400
214,427500,427500
215,430600,430600
216,433700,433700
217,436900,436900
218,440000,440000
219,443200,443200
220,446500,446500
221,449700,449700
222,453000,453000
223,456200,456200
224,459600,459600
225,462900,462900
226,466200,466200
227,469600,469600
228,473000,473000
229,476500,476500
230,479900,479900
231,483400,483400
232,486900,486900
233,490500,490500
234,494100,494100
235,497700,497700
236,501300,501300
237,504900,504900
238,508600,508600
239,512300,512300
240,516100,516100
241,519900,519900
242,523700,523700
243,527500,527500
244,531400,531400
245,535300,535300
246,539300,539300
247,543300,543300
248,547300,547300
249,551400,551400
250,555400,555400
251,559600,559600
252,563800,563800
253,568000,568000
254,572200,572200
255,576500,576500
256,580900,580900
257,585300,585300
258,589700,589700
259,594200,594200
260,598700,598700
261,603200,603200
262,607900,607900
263,612500,612500
264,617200,617200
265,622000,622000
266,626800,626800
267,631700,631700
268,636600,636600
269,641600,641600
270,646700,646700
271,651800,651800
272,656900,656900
273,662200,662200
274,667500,667500
275,672800,672800
276,678200,678200
277,683700,683700
278,689300,689300
279,694900,694900
280,700600,700600
281,706400,706400
282,712200,712200
283,718200,718200
284,724200,724200
285,730300,730300
286,736500,736500
287,742700,742700
288,749100,749100
289,755500,755500
290,762000,762000
291,768700,768700
292,775400,775400
293,782200,782200
294,789100,789100
295,796100,796100
296,803300,803300
297,810500,810500
298,817900,817900
299,825300,825300
300,832900,832900
301,840600,840600
302,848400,848400
303,856300,856300
304,864400,864400
305,872600,872600
306,880900,880900
307,889400,889400
308,897900,897900
309,906700,906700
310,915500,915500
311,924600,924600
312,933700,933700
313,943000,943000
314,952500,952500
315,962100,962100
316,971800,971800
317,981800,981800
318,991800,991800
319,1002000,1002000
320,1012000,1012000
321,1023000,1023000
322,1034000,1034000
323,1045000,1045000
324,1056000,1056000
325,1067000,1067000
326,1078000,1078000
327,1090000,1090000
328,1101000,1101000
329,1113000,1113000
330,1125000,1125000
331,1138000,1138000
332,1150000,1150000
333,1162000,1162000
334,1175000,1175000
335,1188000,1188000
336,1201000,1201000
337,1214000,1214000
338,1227000,1227000
339,1240000,1240000
340,1254000,1254000
341,1267000,1267000
342,1281000,1281000
343,1294000,1294000
344,1308000,1308000
345,1322000,1322000
346,1336000,1336000
347,1350000,1350000
348,1364000,1364000
349,1378000,1378000
350,1392000,1392000
351,1406000,1406000
352,1420000,1420000
353,1435000,1435000
354,1449000,1449000
355,1463000,1463000
356,1477000,1477000
357,1491000,1491000
358,1505000,1505000
359,1519000,1519000
360,1532000,1532000
361,1546000,1546000
362,1560000,1560000
363,1573000,1573000
364,1587000,1587000
365,1600000,1600000
366,1613000,1613000
367,1626000,1626000
368,1639000,1639000
369,1652000,1652000
370,1665000,1665000
371,1677000,1677000
372,1690000,1690000
373,1702000,1702000
374,1714000,1714000
375,1726000,1726000
376,1737000,1737000
377,1749000,1749000
378,1760000,1760000
379,1771000,1771000
380,1782000,1782000
381,1793000,1793000
382,1803000,1803000
383,1814000,1814000
384,1824000,1824000
385,1834000,1834000
386,1844000,1844000
387,1854000,1854000
388,1863000,1863000
389,1873000,1873000
390,1882000,1882000
391,1891000,1891000
392,1900000,1900000
393,1908000,1908000
394,1917000,1917000
395,1925000,1925000
396,1933000,1933000
397,1941000,1941000
398,1949000,1949000
399,1957000,1957000
400,1964000,1964000
401,1972000,1972000
402,1979000,1979000
403,1986000,1986000
404,1993000,1993000
405,2000000,2000000
406,2006000,2006000
407,2013000,2013000
408,2019000,2019000
409,2025000,2025000
410,2032000,2032000
411,2038000,2038000
412,2043000,2043000
413,2049000,2049000
414,2055000,2055000
415,2060000,2060000
416,2066000,2066000
417,2071000,2071000
418,2076000,2076000
419,2081000,2081000
420,2086000,2086000
421,2091000,2091000
422,2095000,2095000
423,2100000,2100000
424,2105000,2105000
425,2109000,2109000
426,2113000,2113000
427,2118000,2118000
428,2122000,2122000
429,2126000,2126000
430,2130000,2130000
431,2134000,2134000
432,2138000,2138000
433,2141000,2141000
434,2145000,2145000
435,2149000,2149000
436,2152000,2152000
437,2156000,2156000
438,2159000,2159000
439,2162000,2162000
440,2165000,2165000
441,2169000,2169000
442,2172000,2172000
443,2175000,2175000
444,2178000,2178000
445,2181000,2181000
446,2183000,2183000
447,2186000,2186000
448,2189000,2189000
449,2192000,2192000
450,2194000,2194000
451,2197000,2197000
452,2199000,2199000
453,2202000,2202000
454,2204000,2204000
455,2206000,2206000
456,2209000,2209000
457,2211000,2211000
458,2213000,2213000
459,2215000,2215000
460,2218000,2218000
461,2220000,2220000
462,2222000,2222000
463,2224000,2224000
464,2226000,2226000
465,2228000,2228000
466,2229000,2229000
467,2231000,2231000
468,2233000,2233000
469,2235000,2235000
470,2237000,2237000
471,2238000,2238000
472,2240000,2240000
473,2242000,2242000
474,2243000,2243000
475,2245000,2245000
476,2246000,2246000
477,2248000,2248000
478,2249000,2249000
479,2251000,2251000
480,2252000,2252000
481,2254000,2254000
482,2255000,2255000
483,2256000,2256000
484,2258000,2258000
485,2259000,2259000
486,2260000,2260000
487,2261000,2261000
488,2263000,2263000
489,2264000,2264000
490,2265000,2265000
491,2266000,2266000
492,2267000,2267000
493,2268000,2268000
494,2270000,2270000
495,2271000,2271000
496,2272000,2272000
497,2273000,2273000
498,2274000,2274000
499,2275000,2275000
500,2276000,2276000
501,2277000,2277000
502,2278000,2278000
503,2278000,2278000
504,2279000,2279000
505,2280000,2280000
506,2281000,2281000
507,2282000,2282000
508,2283000,2283000
509,2284000,2284000
510,2284000,2284000
511,2285000,2285000
512,2286000,2286000
513,2287000,2287000
514,2287000,2287000
515,2288000,2288000
516,2289000,2289000
517,2290000,2290000
518,2290000,2290000
519,2291000,2291000
520,2292000,2292000
521,2292000,2292000
522,2293000,2293000
523,2294000,2294000
524,2294000,2294000
525,2295000,2295000
526,2295000,2295000
527,2296000,2296000
528,2297000,2297000
529,2297000,2297000
530,2298000,2298000
